subject,Customer,Location,Rating,date_time,Views,complaint,Total_reviews_by_customer,Customer_follower
Never go for Metlife,sharmaamit02,gurgaon India,1,"May 17, 2012 08:56 AM",7726 Views,"I have been a Customer with Metlife for Past 4+ years now . I have an insurance plan with Metlife Named Met growth . I am not a good follower of what's happening in the  market . I just want to say that normally we all do an investment or insurance for two reasons
1) To do investment for future and get good returns
2) to get the Tax benifits
However with metlife when I checked  how much is the fund value for the amount I have for past 4+ years I was shocked to see that it was not even half of the amount I have already paid. This is really sad and hurt badly that your hard erned money has gone . Now I am stuck in a situation where I can't surrender the policy as I would not get anything nor I have heart to continue it further as that would just be a waste of money. Metlife Just SUCKS big time and I am helpless . So friends my request to you all never ever think of going with Metlife
Regards
Amit Sharma

 ...Google PlusEmail Flag this reviewIrrelevantFakeJunk    Report this content as inappropriate on the site:

If you find this review content irrelevant on our site, report this review! Thank You! We appreciate your effort.",1 Review,null
8 year old customer,chakradharab,India,1,"Oct 24, 2018 05:46 PM",241 Views,"The agent shown me calculation considering bonus paid @ rate of 8% and 4%. But actually company paying me bonus @2.5%. Since I have already in completed 8yrs, waiting for another 2yrs for completion of policy. But the maturity amount will be much less than what agent told me.

...Google PlusEmail Flag this reviewIrrelevantFakeJunk    Report this content as inappropriate on the site:

If you find this review content irrelevant on our site, report this review! Thank You! We appreciate your effort.",1 Review,null
Very Bad experience,mouthshut_abhi123,thane India,1,"Feb 23, 2011 10:38 PM",3189 Views,"I am a customer for last 5 years, was cheated by sales guy to buy this policy. They have very high commission and expense ratio. Instead invest in mutual funds and buy LIC Term insurance.
Worst website! Down and non-usable for 350 days out of 365 and very slow response from customer service. Never buy ULIP products from them, they really suck! I would really like to see if anyone really liked them. There new website extremely slow and not updated frequently.
Stay away from it guys! don't fall for the METLIFE Big name.
All the Best!

 ...Google PlusEmail Flag this reviewIrrelevantFakeJunk    Report this content as inappropriate on the site:

If you find this review content irrelevant on our site, report this review! Thank You! We appreciate your effort.",1 Review,null
"Metlife site does open, Are they closing down?",ssinghalin,Bangalore India,1,"Jan 30, 2012 05:55 AM",6262 Views,"Want to pay insurance premium but metlife.co.in never opens. I tried multiple times today. I am not sure whether I should continue with smartplus or switch. What's the penalty if they close the fund? Does any smartplus customer knows if they have insurance cover that they promised for 100 years. Why should the fund value be less than the total amount submitted so far. Are they losing money in stock market? Can anyone guide whether we should pay the next premium or close out.

 ...Google PlusEmail Flag this reviewIrrelevantFakeJunk    Report this content as inappropriate on the site:

If you find this review content irrelevant on our site, report this review! Thank You! We appreciate your effort.",2 Reviews,2 Followers
Pnb life insurance is soo efact full,lalitmodi830,Bhadra India,5,"Nov 27, 2016 05:30 AM",9352 Views,"PNB MetLife is a number one cheating insurance company. They fool you with promises, by giving wrong messages and promises.
They just want to make money by cheating public.First, I chose for 5 years payment term and 10 years maturity term and they gave me 10 years payment and 15 years maturity term. Second, they didn't give any mediclaim saying that it was to be provided by some third party company and now they are not working with them. Ok so then I asked to cancel my policy and return my money. First, their customer care didn't tell me that I had to visit their office to cancel my policy and then after 30 days they asked me to visit their office but scenario was changed

 ...Google PlusEmail Flag this reviewIrrelevantFakeJunk    Report this content as inappropriate on the site:

If you find this review content irrelevant on our site, report this review! Thank You! We appreciate your effort.",21 Reviews,14 Followers
Avoid PNB Metlife,divanab,India,1,"Jun 24, 2015 07:13 AM",9517 Views,"I have/had insurance policies with Kotak, ICICI and Metlife(now PNB Metlife). On 21/05/2015, I surrendered my policy as I was not happy with what they did few months back.
About 3-4 months back, without my consent they  did multiple partial withdrawals and paid-back the premiums for fours years. My fund value reduced by about 1.25 lakhs as they deducted premium allocation charges.
I complained and able to cancel all transactions with some difficulties. It took about a month with more than dozen calls and dozen e-mails. It was very frustrating.  Finally, I decided to surrender the policy and did the same thing on 21-05-2015.
Till now they are not able to pay me the surrender value. They are giving one excuse or the other and passing the time.  Not sure what is happening with PNBM,  I will never buy policy or any other product from them. This is one of the worst companies that I have seen in this sector.  The customer support is very poor. I hope they will resolve their internal issues very soon and clear my payments with INTEREST.
The Summary:  Avoid PNB Metlife and keep an eye on what do they do with your account if you are in premium discontinue mode.

 ...Google PlusEmail Flag this reviewIrrelevantFakeJunk    Report this content as inappropriate on the site:

If you find this review content irrelevant on our site, report this review! Thank You! We appreciate your effort.",2 Reviews,null
Metlife-  Killer for peace of mind guaranteed,balajimouth,Bangalore India,1,"Sep 08, 2011 06:58 PM",4356 Views,"I have been a costomer in Metlife for last 5 years. Agents are simply lying attactive schemes to get the high commission. Really Metlife service is very very worst. due to my age without intimation they changed my policy to surrender mode though I paid preoperly for all premiums.I tried to ineract customer care so many times.
They did not even Picked up the phone and couple of times responded with lame reasons. After 4 months of struggle I paind one more permium to reinstate my policy.
My Kind advice to all is do not go for mutual funds especially to private sectors. Since a experience guy here my words and not agents.

 ...Google PlusEmail Flag this reviewIrrelevantFakeJunk    Report this content as inappropriate on the site:

If you find this review content irrelevant on our site, report this review! Thank You! We appreciate your effort.",1 Review,null
Cheating insurance company,parvejcarzia,India,1,"Oct 11, 2018 04:56 PM",269 Views,"PNB MetLife is a number one cheating insurance company. They fool you with promises. I request all please do not go with this company.i have lost my 26000.00 and no one can help me.They fool you with promises, by giving wrong messages and promises.They just want to make money by cheating public.

 ...Google PlusEmail Flag this reviewIrrelevantFakeJunk    Report this content as inappropriate on the site:

If you find this review content irrelevant on our site, report this review! Thank You! We appreciate your effort.",1 Review,null
Run behind them for repayment of your money,suneelkms123,Bangalore India,1,"Jul 09, 2016 06:58 PM",10670 Views,"Customer care executives are always busy and even a single mistake in providing information they seek at verification, they disconnect the call. It is worst service and even after providing all the details requested several times, they come back with  same answer of being not satisfied with the information, they seek the information again. It has been 10months now that they haven't paid back to us. Policy is in my father name and they have issue with signature, it has been requested to provide the properly signed form, my father is a government official and he is serving highest designation and he has provided all the request from insurance company, still come back with something new. This is seriously a worst company. I am writing this to inform world not to be fooled/irritated/tortured.
Since this is private sector, executives will flee away after year or two.You will have to fight with other for your money as am doing today.

 ...Google PlusEmail Flag this reviewIrrelevantFakeJunk    Report this content as inappropriate on the site:

If you find this review content irrelevant on our site, report this review! Thank You! We appreciate your effort.",1 Review,null
One more worst experience here,vallaree,Mumbai India,1,"Sep 16, 2013 10:58 PM",10139 Views,"I read the reviews below and can add that I am one of those.
6 Years back, their 'advisor' Mr Patwardhan came to us and told many positive things. We foolishly purchased the policy and now repenting.
Thankfully, since we had no experience, we went with the minimum amount 12k(still it's a big amount)...they were expecting us to invest about 1-2 lac/yr...
after 6 yrs, I paid 72k(12k*6)...and my fund value is around 66 k.
Last year talked with the so called 'Advisor' who was out of reach for many years, and now he could be reached as he wanted to sell one more product!!!
He said that we would have switched funds when markets were down, we could have saved our money...he (so called) told that he communicated to many ppl, but my phone was not reachable...all lies I know...
I called their customer service and came to know that if I surrender this time, I might lose some money, so better to continue at least for 5 yrs...
I have switched to preserver(lowest risk, low returns)
Now Its 7th yr/time, I have to pay...and I am confused what to do... Can I recover my loss by continuing for 3-4 years and switching funds?
Anyone knows, what is ""Policy in holiday period""?

 ...Google PlusEmail Flag this reviewIrrelevantFakeJunk    Report this content as inappropriate on the site:

If you find this review content irrelevant on our site, report this review! Thank You! We appreciate your effort.",14 Reviews,null
MetLife Term Plan,zeiger,Mumbai India,4,"Jan 19, 2009 06:54 PM",6827 Views,"Hello All, I would like to tell you about the MetLife Term Plan that I have taken 2 months ago. It is called MET Suraksha - TA.On searching for various insurance options which give me all 3 of following, I found MetLife the cheapest of all:1. Death Benefit: Rs. 25 Lac2. Accidental Death or Dismemberment: Rs. 10 Lac3. Critical Illness Benefit: Rs. 10 LacVery few plans give all of the 3 above at a less premium and in one policy itself.So I went to their site( http://www.metlife.co.in) and asked for an advisor.An advisor called me in the next 3 days and asked when I would be free to meet him. He was ready to meet me on a Sunday which was rather surprising!He asked me some questions like what I am looking for(Term Plan, not investment) and age etc. so that when he comes to meet me, he can tell me exactly how much premium I might have to pay.He came on time on the Sunday(he also called before he came, to confirm whether I was there or not). He showed me the plan I was looking for and I thought it gave me what I wanted at a cheap premium of just Rs. 680 per month(approx.)After that he showed me benefits of a ULIP plan of MetLife, but I told him I am not interested at all.He filled the Term Insurance form for me, took passport photocopy etc. and told me that in a weeks time, I will get a call to get my medical test done. I told him I would like to do the medical test also on a Sunday, to which he agreed(again!)So after 4 days, he emailed me the medical test confirmation letter and to my surprise, the medical test centre was just 2 minute walk away from my home!I was very happy that everything went as planned. Medical test was done and then in the next 4 days, he sent me an SMS telling my Policy Number and said that I will receive my documents in the next 3 days or so.In the next 3 days, I got the documents. There was not a single mistake in any document and it explained everything properly.He also emailed me an offer to join MetLife as Part Time or Full Time insurance advisor and to earn extra income if I can get anyone else to take policies! This was a good thing for me, although I don't need it now, its a good thing that at least they are offering something in times of recession and giving me some money if I get them insurance policies.All in all, there is no hassle with MetLife as per my experience. I am not sure about how easily they will settle claims if any, but atleast, with their attitude in the beginning, I am sure that they are a genuine insurance company with good ethics.In the policy document, they also gave me a loginID and password so that I can log into their site and view my policy etc.For me, it was a great experience being with MetLife, atleast for the first 2 months.I hope it remains the way it is.Thanks.
...Google PlusEmail Flag this reviewIrrelevantFakeJunk    Report this content as inappropriate on the site:

If you find this review content irrelevant on our site, report this review! Thank You! We appreciate your effort.",2 Reviews,null
Survival Benefit not disbursed,sudhindrashetty,India,1,"Nov 04, 2015 08:01 PM",13655 Views,"This is regarding my policy 00093921. I was supposed to receive the survival benefit of Rs.20K in May2015. I did not receive till August, so I visited my nearest branch. I was asked to submit the request form, policy documents & necessary proof.
I was informed that I would get my money in 15 working days, 2 months passed I did not receive any money. I visited the branch again now they say I need to submit a complaint letter. I called up the toll free number, they say I never submitted any survival request form. I don't know whom to believe I have visited their branch thrice & multiple calls to customer care but no idea when will I get my money back. I have similar policy with LIC I never had to submit any survival request form.
Although LIC is a government organization I have never had any problems with them but Metlife although private I'm really disappointed by their customer service. If getting survival benefit is difficult when I'm still alive how can I expect a claim settlement to be processed after my death, the whole idea of having insurance is defeated. I have decided to visit the branch & surrender the policy .I don't know how difficult that is going to be.

 ...Google PlusEmail Flag this reviewIrrelevantFakeJunk    Report this content as inappropriate on the site:

If you find this review content irrelevant on our site, report this review! Thank You! We appreciate your effort.",2 Reviews,null
"Worst Insurance Provider, Pathetic ULIP",trevanthkumar,Bangalore India,1,"Oct 18, 2014 05:31 PM",10864 Views,"Revanth from Bangalore. MetSmartPlus Policy Number 00661036 since 2008 @Rs.25000 premium.
1) Any call to customer care will last 20 minutes at least, with no outcome.
2) People in branch are totally unaware of their IT.
3) I submitted request for Partial Withdrawal(PW) and I got confirmation call for policy closure.
4) On 10-Oct-2014, CustomerCare intimates that my PW limit is Rs.55, 000/-
On 18-Oct-2014, settlement department calls me up and first says limit is Rs.(25, 000-40, 000). I first laugh and give the background, then they say Rs.45, 000/-
If you wish to lose your money, just for the sake of TDS, go for it.
Metlife Sucks!
  ...Google PlusEmail Flag this reviewIrrelevantFakeJunk    Report this content as inappropriate on the site:

If you find this review content irrelevant on our site, report this review! Thank You! We appreciate your effort.",4 Reviews,null
PNB MetLife Life Insurance,p162_261,Delhi India,2,"Mar 15, 2018 03:02 PM",306 Views,"I feel that the returns of PNB MetLife Life Insurance are less and the premium is high.I was suggested by one of my friends to invest my money with PNB MetLife Life Insurance Pension Plan.Its web services are okay and an investor saves taxes on it.I invest my money for future security.It is certainly good for a middle class person.There are other plans in PNB MetLife Life Insurance such as PNB MetLife ULIP Policy Plan, PNB MetLife Mera Term Plan-Full Lumpsum Payout and PNB MetLife Child Insurance Policy.The services provided by PNB MetLife Life Insurance and the staff members are okay.

 ...Google PlusEmail Flag this reviewIrrelevantFakeJunk    Report this content as inappropriate on the site:

If you find this review content irrelevant on our site, report this review! Thank You! We appreciate your effort.",237 Reviews,71 Followers
Number 1 Fraud Insurance Company,anupamprathor,India,1,"Oct 06, 2016 11:00 AM",7969 Views,"In the first year of my Online Term Policy itself their true face is exposed. No one here seems to be concern about the customers issues and their queries. They just interested in receiving premium amount thats it. In my first policy year itself I am thinking of discontinuing my term policy because of their pathetic services and response. Below is the script of my mail that I have comminicated to their customer service, to their Grievance cell and even to their Grievance Redressal Officer(Taranjit Singh, Associate Director, Customer Services, Operations and Services) but no proper and timely response. Their service standard and way of response all shows that at the time of claiming the Policy benefit, how much pain and problem my nominee will have to go through. Even the statistics shows that how poor they are performing when settling the claim.  I am feeling chated now.
Dear Sir/Madam,
My experience with PNB MetLife is not even satisfactory as far as the handling of the existing customer's queries and concern is concerned. And I am sure mine is not one off case who might have had the same experience with the functioning of the PNB MetLife dedicated team who always needs up to 7 days to answer even for few simple queries. Let me tell you what I experienced.
I wanted to know the process of Adding Riders and the premium for that riders. I called customer care Toll free number and they do not have knowledge regarding the process and the premium. They asked me to send my query to  Indiaservice@pnbmetlife.co.in. I sent mail on 20-Sep-2016, and I got the revert on mail after 8 days on 28-Sep. Unbelievable. Dedicated team has to work so much round the clock for those many days just to figure out the premium amount of my riders. But the process to add the riders still not answered. I sent mail again on 28-Sept to know the process of adding the riders and again the Dedicated Team needs 7 days to answer this and am still waiting. I was frustrated by that time and I decided to visit my nearest branch, which is actually 4 Hrs to and fro from my home. I reached there at 12.15 on 01-Oct-2016 and shocked to know that being Sat, it was closed by 12 noon, this was never mentioned in your website about the branch timings.
I called back to customer care and asked them to arrange a call back from the dedicated team by Monday(03-Sep-2016), otherwise I am unable to continue with the policy because of not getting any information from any where from PNB MetLife.
During all these days, I am getting calls after every alternate days for reminding me the premium due, but never get any call from the so called Dedicated Team to respond to my query. They replied only on mail with only limited information that too after 7-8 days may be because that is their TOT and not bothering at all about customer's time constraint.
Please arrange a call back by Monday(03-Oct-2016) who will have complete knowledge of the process and the premium amount, otherwise I cannot carry on with this policy as I may not get information on time before my next premium date.
  ...Google PlusEmail Flag this reviewIrrelevantFakeJunk    Report this content as inappropriate on the site:

If you find this review content irrelevant on our site, report this review! Thank You! We appreciate your effort.",1 Review,null
My bad experience with Metlife,roshk,Ahmedabad India,2,"Mar 11, 2011 03:42 PM",6832 Views,"Based on reviews of the plan, I applied for MetProtect online term insurance plan for Rs 25 lakhs for a duration of 35 years. I paid the premium by credit card and completed all the documentary requirements. The executives at Metlife even verified that my documents were in order and everything is perfect. 

After a week or so I received a cheque as refund for the premium paid. I was taken by surprise as there was no communication prior to that suggesting that my application was rejected.
I called Metlife and after going through 2 persons, I was told that I would get a call back, which never happened. I called after 3 days and was told that I should email the complaint which I did. 

Now I receive a reply which I think is all gibberish since it doesn't give any reason as to why my application was rejected. I expected a company like Metlife to behave in a more professional manner. Below is the text of my mail conversation with them(last mail first): 


Dear Sangeetha, 

I have read your spiel which doesn't explain anything except that you guys like writing hundreds of words without answering the question. The basic question is why was my application rejected even after your executives collected all documents, took my company's stamp on the payslips, and even extended a welcome call- not once but twice. 


You have mentioned in the below mail that the reasons are mainly financial and medical and decisions are taken based on certain set of conditions. I believe as an applicant I have a right to know which condition I did not meet. Is it so difficult to clearly tell me what went wrong? 

As far as I understand, possible options for the reason could have been: 
1. Inadequate health 
2. Inadequate earnings 
3. Incorrect/incomplete documents 

Vis-a-vis the above three possible reasons that come to my mind: 

1. You never conducted a medical test 
2. I believe I earn well enough to pay your premiums 
3. My documents were absolutely correct and complete and it was verified by your executives too. 

Now I fail to understand how a company like Metlife can be so unprofessional and callous in attiMr_customtakeouter towards customtakeouters/applicants. 

I find your behaviour ridiculous and demeaning; and that is not because you refused my application, but because you refuse to acknowledge the reason and provide a remedy if any. 

I hope somebody responsible enough there reads this. 

Thank you very much. 

Roshan 
- Hide quoted text - 

On Thu, Mar 10, 2011 at 7:10 PM, MetLife customtakeouter Service indiaservice@metlife.co.in wrote: 
Dear Kumar, 

Greetings from MetLife! 

This is with reference to your mail with regards to the above mentioned policy. 

We would like to inform that an insurance proposal is evaluated from a number of aspects mainly financial and medical. 

Basis the information provided in the proposal form and the supporting document an insurance proposal is analyzed. The proposal is reviewed on prognosis basis which signifies the non suitability of the proposal in a given set of conditions. The decision to not accept the proposal should not be construed as an indication of the health of an individual. 

We regret that we would not be in a position to accept your proposal under the captioned application for Met Protect. 

Please feel free to mail us for any further assistance. 

Thanks and Regards, 
Sangeetha S 
customtakeouter Service 

Please mention the policy number in the subject of the email whenever you write to us for a quicker response. Do not include any 
space or any special characters between the digits. 

* For the convenience of the policy holder we have upgraded our website, you can access your policy information conveniently and faster with just a click from our home page, http://www.metlife.co.in 

You can register Address change, Frequency Change, Fund switch, Premium Redirection and Beneficiary Change online and can register complaint or intimate claim through the portal. Also you can download e-statement. 

For assistance on call from 8am-8pm: 
1800-425-6969(Toll Free) OR+91-80-26502244 
MetLife India Insurance Company Ltd, Brigade Seshamahal, 5, Vani Vilas Road, Basavanagudi Bangalore-560 004 
Fax - 91-80 - 41506969 

-Original Message- 

From: Roshan kumar 
Date: Monday, March 07, 2011 03:29 PM 
To: indiaservice@metlife.co.in(indiaservice@metlife.co.in) 
Subject: Regarding Metprotect online term insurance application 

Hi, 

This is wrt Application number 495018958 for Metprotect online term insurance plan. 

My application has been rejected and the money has been refunded to me via cheque number 568207. 

I wish to know the reason for decline, since I had completed all documentary requirements and had even received welcome calls twice from two different executives in your office. 

I would appreciate if you could promptly answer this. 

Regards, 

Roshan Kumar
 ...Google PlusEmail Flag this reviewIrrelevantFakeJunk    Report this content as inappropriate on the site:

If you find this review content irrelevant on our site, report this review! Thank You! We appreciate your effort.",1 Review,null
PNB METLIFE PATHETIC CUSTOMER CARE/,mahesh30,bangalore India,1,"May 28, 2015 05:49 PM",9303 Views,"I have a policy with metlife since Feb2010. Due to some IRDA rules, this policy is no more available . I paid premium 3 year locking period and after that I requested for discontinuance of policy .
This year I planned to reinstate the policy after a gap of  3 years, . I approached their bangalore jayanagar office and they told it will take 4 - 5 working days . But to my surprise it took 3 weeks . I submitted application on 4 th may 2015 along with cheque of INR 75, 000 /-  and they reinstated my policy on 20th may 2015 after rigorous followup only, other wise it would have taken whole year.
as my policy is ULIP, I asked which days NAV will apply to convert my premium to unit. I was told repeatedly by their customer care that it will be the day when they receive the premium amount.  As I can see from my bank statement, INR 75000 got debited on 7th may, so logically 7th may NAV should apply. To my surprise they have applied 20th may NAV, the day my policy got reinstated.
my questions is why did customer care gave false information? and why did they do from 7th May 2015 to 20 th May after withdrawing INR 75000 from my account.
No answers.
what should I do to get these answers, I don't have faith in customer care answers.each one provides different anwers.I am fedup.

 ...Google PlusEmail Flag this reviewIrrelevantFakeJunk    Report this content as inappropriate on the site:

If you find this review content irrelevant on our site, report this review! Thank You! We appreciate your effort.",2 Reviews,null
This is Fraud company,Rajareddycngp,#NAME?,1,"Jun 07, 2018 03:33 PM",353 Views,"I am suggesting do not invest in PNB Metlife. I was submitted all require Documents to claim but they Metlife guys are saying not received. even they do not have a policy to give acknowledgment receipt while submitting the doc. They won't reply email & phone calls as well.

...Google PlusEmail Flag this reviewIrrelevantFakeJunk    Report this content as inappropriate on the site:

If you find this review content irrelevant on our site, report this review! Thank You! We appreciate your effort.",1 Review,null
PNB MetLife Life Insurance.......,Manukharadi,India,1,"Jan 23, 2016 12:42 AM",14020 Views,"A study by popular life insurer PNB MetLife has thrown a new light on how employees perceive and desire their life insurance schemes.
PNB MetLife is a number one cheating insurance company. They fool you with promises, by giving wrong messages and promises.
They just want to make money by cheating public.First, I chose for 5 years payment term and 10 years maturity term and they gave me 10 years payment and 15 years maturity term. Second, they didn't give any mediclaim saying that it was to be provided by some third party company and now they are not working with them. Ok so then I asked to cancel my policy and return my money. First, their customer care didn't tell me that I had to visit their office to cancel my policy and then after 30 days they asked me to visit their office but scenario was changed and they told me my freelook period was over and I couldn't cancel the policy.

 ...Google PlusEmail Flag this reviewIrrelevantFakeJunk    Report this content as inappropriate on the site:

If you find this review content irrelevant on our site, report this review! Thank You! We appreciate your effort.",50 Reviews,13 Followers
Surrender charge had eaten all my investment,chidambaram0705,Bangalore India,1,"Feb 16, 2016 06:34 PM",13212 Views,"Policy Number: 20751099
I have opted for ""Met Monthly Income Plan"" with monthly payment Rs.4346 starting from year 2012.
Now due to financial issue, I want to Surrender my policy and use the amount to clear my financial issues. But to my shock, the customer care representative told me that I will be getting only 36K in hand out of 1.6Lakh, almost 78% of my investment will be deducted as surrender charge.
Please help how can I deal with it.

 ...Google PlusEmail Flag this reviewIrrelevantFakeJunk    Report this content as inappropriate on the site:

If you find this review content irrelevant on our site, report this review! Thank You! We appreciate your effort.",1 Review,2 Followers
PNBMETLIFE Term Plan Review,sharmavikash001,Faridabad India,1,"Aug 19, 2015 08:20 PM",10738 Views,"After comparing plan on policy Bazaar and their recommendation I purchased Metlife  Mera Term Plan.
Step by step Policy bazar helped me to fill the form till Money transfer and they said you will get mail from PNB METLIFE now.
I didnt get any mail confirmation and status from PNB Metlife after 4 days also even money they received ack.It is very worst exp, even Policy Bazar is helping.
On Call, PNBMetlife is replying weirdly and even not gave any info.As term plan is concern, we need know what service they will give after my death.
Thanks,
Vikash Sharma

 ...Google PlusEmail Flag this reviewIrrelevantFakeJunk    Report this content as inappropriate on the site:

If you find this review content irrelevant on our site, report this review! Thank You! We appreciate your effort.",1 Review,null
"Metlife, guess in Top 10 unprofessional companies",daWidoW,Bangalore India,1,"Jan 03, 2010 04:19 PM",4136 Views,"This review is about the unprofessional-ism shown by Metlife and their customer care that I have faced so far, and from what I have seen this can be rated one of the Top 10 unprofessional companies I guess. their attitude and the way issues are handled!


Issues faced initially


Communication


Lost history


Citi bank tie up


Site update and online payment 6. the way things are handled by the customer care


Right from the day I got my policy, I have been having facing lots of issues, I was unable to login for almost 2-3 months since the inception of the policy, however the online payment mode was working simple reason it was disconnected from the login page, so convenient. don't care about customer's login and details but always concerned about the payment coming in! I never got any correspondence either via snail mail nor via email. and nothing on the phone as well. I had to make a thousand calls literally to get them to sort out and this finally worked after escalating it to a couple of levels higher.


i was finally able to login, and find that none of the information that I had given was correctly attached with my login. my phone number was incorrect, mail id was miles apart from what it is and the address I think was missing or wrong! again had to make a lot of calls and was sorted after a long time.


Metlife went on an upgrade of the site and other stuff. well and guess what they had a ""Request History"" which was conveniently erased for their benefit so that they can get away with their issues, an update does not mean tampering with the actuals, does it?


they have a tie up with citibank for online payment, and you need to enter your policy number(every damn time) to make the payment, and every time, I would get an error message saying policy number is invalid! and at this time they had changed the policy number by stripping some initial digits. now they have some 5 fields, which the Metlife customer care people have no clue about and they blame it on Citi(by this time I had already called citi and they obviously have no clue as they are all Metlife specific) and again these people don't even understand English well!


there was another time they went on a site upgrade and the online payment gateway was not functioning, and as usual they have crappy communication, I never got any intimation for the same nor was there any warning on the site either, again very convenient on that. well and the account was suspended as I did not make a payment, well although had tried it several times over a period of 3 days, policy lapsed and talking to customer care is just the same old. no valid response, escalated the issue spoke to this person Anitha, well again no help in fact she was not ready to listen to the issue and didn't help to the least bit!




If you ask me, never go for them. professionalism is equally important and especially being a corp environment should not mean you do not care for the customers!

 ...Google PlusEmail Flag this reviewIrrelevantFakeJunk    Report this content as inappropriate on the site:

If you find this review content irrelevant on our site, report this review! Thank You! We appreciate your effort.",9 Reviews,9 Followers
"Metprotect Wrst cust srvice,false commitmnts,cheat",pkngi,Del India,1,"May 26, 2011 12:39 PM",3306 Views,"I had purchased an online metprotect term insurance plan on 31Mar11, as per call from customer care, they assured me that this is best and cheapest term plan
And as soon as I pay my premium online my life coverage will start though the policy will be issues after required formalities. After 12 days I neither received
Any acknowledgement nor and call from them, though premium was deducted on 31Mar11 only. After repeated followups, someone came to collect the required documents
On 13Apr, 10 days lapsed but no response, when I contacted them on mails, phone call I got reply that my application is under-process. around 25Apr, I got response
That some more documents are required which I shared on 03MAy11, then after repeated followup on mail phone calls I cam to know that my policy will be issued by 20MAy11
Then one fine day when I contacted customer care I was told that my application has been REJECTED, and to know the reason I need to send mail to customer care, what the hell !
On one side their sales team pushed me to purchase policy ASAP since my birthday was in april so after that my premium would increase for entire term due to increase in age, so I purchased
this in hurry, ==now I feel cheated, even if I go to other insurer now in may11, I will be charged comparitively high premium now. Worst customercare, irresponsible attitude,
flase  commitments==... Still I dont know why my policy is rejected ??

 ...Google PlusEmail Flag this reviewIrrelevantFakeJunk    Report this content as inappropriate on the site:

If you find this review content irrelevant on our site, report this review! Thank You! We appreciate your effort.",1 Review,null
Beaten by Branch Head,Rupinder_Singh,New Delhi India,5,"May 13, 2012 02:21 PM",8903 Views,"I was employee of your MetLife India Insurance Co. Ltd. I just got my Termination Letter, but here I am writing this mail not for this matter.
I got my termination letter on 7th may 2012 (that’s a other part). I visited your Co. Branch on 12th May 2012 at 1:30 pm to just handover the office particulars like I-card, locker Key. After handover to Operation Manager that particulars, he told me wait for some minutes. Then I was waiting on reception. There Mr. Anuj Jain (Branch Head) came (1:35 pm) to me & asked for the reason to come office. I update him with the reason softly that I am here just to handover office particulars. Then suddenly he took me to collar & started me give abusive language & told me to go out side of office & stared me beating. There were many visitors around there & Mr. Devraj (Operation Manger) was also present there, I told him please save me but he do nothing. I have no chance to defence me. I explained anuj jain that I am not speaking you any wrong words, but he continues beating me with abusive language even out side of the office in stairs going down. He also told other employees to help him to beat me. I got injured in my finger, pain on my hand/shoulder/head also. That’s the Silver I got from your Co.
I called up HR mangers but in vain, Mr. Sushant Rajput (Delhi Head), he told me that, “ you are a Visitor not employee for your Co. now.
He is helpless in this matter.
After waiting any help from Co. Then I called up Police. There Mr. Anuj Jain (Branch Head) came there with some employees who were not present in office that time & operation Manager Mr. Devraj. They all telling lie in front of police, that there was no incident happen like this in branch. I said to Mr. Devraj (Operation Manger)  please be afraid of GOD & say truth but, he told that he did not want to be terminated his job. Police took me to Medical checkups. Mr. Anuj Jain washed all this by using his resources/bribe & feeling in comfort.
I have no hope from any one. They all have a unity; no one is listing my voice. But I will not leave this matter. I may go to Labour Court, NGOs & Human Rights Department also.
Yours truly,
Rupinder Singh
Ex Employee code: 1094030
email: rupinder_singh_seehra@yahoo.com
Branch: Pitampura , Delhi
  ...Google PlusEmail Flag this reviewIrrelevantFakeJunk    Report this content as inappropriate on the site:

If you find this review content irrelevant on our site, report this review! Thank You! We appreciate your effort.",1 Review,null
Inefficient Ways,lizthomas,Mumbai India,1,"Apr 02, 2014 07:15 PM",8907 Views,"I had high hopes with Metlife when it came into the market in 2007. I bought a unit linked policy and after 7 years I lost Rs. 50, 000- surrendered this 10 year policy after 7 years as I was losing money. They will keep telling you not to surrender even though you are losing money.
No advice given in the last 7 years whatsoever.
Once they hook you to take a policy, there is no help or assistance throughout the term of the policy.
When you want to surrender, they will make all sorts of promises to make you take another useless policy and they take more than 2 months to return your money after they have declined your policy for no valid reason.
PNB Metlife just wants to PLAY with your money. They are not doing any REAL insurance but  some play with customer's money in the guise of policies!
I don't know what the deal is in PNB Metlife India but it is NOT what it says it is. My experience has been horrendous to say the least.

 ...Google PlusEmail Flag this reviewIrrelevantFakeJunk    Report this content as inappropriate on the site:

If you find this review content irrelevant on our site, report this review! Thank You! We appreciate your effort.",31 Reviews,11 Followers
Said it was best policy but i lost 300000,yomouth,Bangalore India,1,"Mar 13, 2012 10:17 AM",7020 Views,"The agent presented the policy saying, met magic was the best for me and I can pay just one payment and withdraw after 3 years if I wanted. he did not tell me more than 75% of my money is going to the fees and charges. Now I paid 300000 for 2 years and if I were to withdraw now I will get only 30000 only, 90% my money is used for the fees and others hidden charges which I was not aware. if a customer is told about these charges no one in his right mind will buy these policies with their hard earned money. Truly one of the worst company to deal with, it should be called not met life but met death.
Yohan

 ...Google PlusEmail Flag this reviewIrrelevantFakeJunk    Report this content as inappropriate on the site:

If you find this review content irrelevant on our site, report this review! Thank You! We appreciate your effort.",1 Review,null
